ID,Offense,Arrests_Adult,Arrests_Juvenile,Offenses_Reported,Offenses_Cleared,Classification,Year
173,Assisting or Promoting Prostitution,20,0,46,28,A: Crimes Against Society,2018
174,Purchasing Prostitution,18,0,23,20,A: Crimes Against Society,2018
175,Weapon Law Violations,789,75,"2,782","1,657",A: Crimes Against Society,2018
176,Animal Cruelty,11,0,45,16,A: Crimes Against Society,2018
177,Total Group A Offenses,"44,093","3,198","199,581","62,838",A: Crimes Against Society,2018
178,Bad Checks,130,1,,,B,2018
179,Curfew/Loitering/Vagrancy Violations,3,0,,,B,2018
180,Disorderly Conduct,"3,395",236,,,B,2018
181,Driving Under the Influence,"7,758",16,,,B,2018
182,Drunkenness,"5,336",23,,,B,2018
183,Family Offenses (Nonviolent),"1,133",21,,,B,2018
184,Liquor Law Violations,"1,171",114,,,B,2018
185,Peeping Tom,2,1,,,B,2018
186,Trespass of Real Property,"2,007",70,,,B,2018
187,All Other Offenses,"31,641",997,,,B,2018
188,Total Group B,"52,576","1,479",,,B,2018
189,Murder and Nonnegligent Manslaughter,40,1,114,60,A: Crimes Against Persons,2019
190,Negligent Manslaughter,5,1,13,8,A: Crimes Against Persons,2019
191,Kidnapping/Abduction,150,6,591,350,A: Crimes Against Persons,2019
192,Rape,191,16,"1,516",288,A: Crimes Against Persons,2019
193,Sodomy,104,8,393,199,A: Crimes Against Persons,2019
194,Sexual Assault With An Object,6,0,56,11,A: Crimes Against Persons,2019
195,Fondling,201,24,"1,175",268,A: Crimes Against Persons,2019
196,Incest,11,3,92,17,A: Crimes Against Persons,2019
197,Statutory Rape,79,18,770,120,A: Crimes Against Persons,2019
198,Aggravated Assault,"5,161",389,"13,723","8,408",A: Crimes Against Persons,2019
199,Simple Assault,"14,282","1,092","34,276","19,086",A: Crimes Against Persons,2019
200,Intimidation,"1,316",157,"11,565","2,860",A: Crimes Against Persons,2019
201,"Human Trafficking, Commercial Sex Acts",4,0,18,8,A: Crimes Against Persons,2019
202,"Human Trafficking, Involuntary Servitude",2,0,9,2,A: Crimes Against Persons,2019
203,Arson,46,19,310,89,A: Crimes Against Property,2019
204,Bribery,0,0,6,5,A: Crimes Against Property,2019
205,Burglary/Breaking & Entering,"1,258",160,"10,672","1,705",A: Crimes Against Property,2019
206,Counterfeiting/Forgery,400,8,"3,099",678,A: Crimes Against Property,2019
207,Destruction/Damage/Vandalism of Property,"1,751",258,"25,271","4,603",A: Crimes Against Property,2019
208,Embezzlement,79,3,423,90,A: Crimes Against Property,2019
209,Extortion/Blackmail,6,0,273,20,A: Crimes Against Property,2019
210,False Pretenses/Swindle/Confidence Game,719,15,"9,505","1,156",A: Crimes Against Property,2019
211,Credit Card/Automatic Teller Fraud,103,2,"3,023",229,A: Crimes Against Property,2019
212,Impersonation,77,0,"4,961",242,A: Crimes Against Property,2019
213,Welfare Fraud,0,0,10,1,A: Crimes Against Property,2019
214,Wire Fraud,6,2,902,8,A: Crimes Against Property,2019
215,Identity Theft,10,1,883,23,A: Crimes Against Property,2019
216,Hacking/Computer Invasion,1,0,57,1,A: Crimes Against Property,2019
217,Robbery,502,90,"2,647",627,A: Crimes Against Property,2019
218,Pocket-picking,67,8,740,110,A: Crimes Against Property,2019
219,Purse-snatching,27,1,281,37,A: Crimes Against Property,2019
220,Shoplifting,"4,854",183,"12,383","5,129",A: Crimes Against Property,2019
221,Theft From Building,494,33,"7,511",679,A: Crimes Against Property,2019
222,Theft From Coin Operated Machine or Device,3,1,19,1,A: Crimes Against Property,2019
223,Theft From Motor Vehicle,335,66,"8,785",505,A: Crimes Against Property,2019
224,Theft of Motor Vehicle Parts/Accessories,19,0,"1,344",29,A: Crimes Against Property,2019
225,All Other Larceny,"1,469",115,"23,783","2,117",A: Crimes Against Property,2019
226,Motor Vehicle Theft,367,94,"4,952",618,A: Crimes Against Property,2019
227,Stolen Property Offenses,539,97,"1,638",927,A: Crimes Against Property,2019
228,Drug/Narcotic Violations,"6,177",115,"9,446","7,221",A: Crimes Against Society,2019
229,Drug Equipment Violations,11,0,162,98,A: Crimes Against Society,2019
230,Betting/Wagering,1,0,7,1,A: Crimes Against Society,2019
231,Operating/Promoting/Assisting Gambling,17,0,56,37,A: Crimes Against Society,2019
232,Gambling Equipment Violations,0,0,4,0,A: Crimes Against Society,2019
233,Sports Tampering,0,0,0,0,A: Crimes Against Society,2019
234,Pornography/Obscene Material,74,40,762,143,A: Crimes Against Society,2019
235,Prostitution,304,0,288,239,A: Crimes Against Society,2019
236,Assisting or Promoting Prostitution,18,0,46,25,A: Crimes Against Society,2019
237,Purchasing Prostitution,25,0,25,23,A: Crimes Against Society,2019
238,Weapon Law Violations,731,95,"2,760","1,562",A: Crimes Against Society,2019
239,Animal Cruelty,16,1,92,30,A: Crimes Against Society,2019
240,Total Group A Offenses,"42,058","3,122","201,437","60,693",A: Crimes Against Society,2019
241,Bad Checks,42,0,,,B,2019
242,Curfew/Loitering/Vagrancy Violations,8,0,,,B,2019
243,Disorderly Conduct,"3,355",168,,,B,2019
244,Driving Under the Influence,"7,676",18,,,B,2019
245,Drunkenness,"4,723",12,,,B,2019
246,Family Offenses (Nonviolent),959,13,,,B,2019
247,Liquor Law Violations,"1,123",68,,,B,2019
248,Peeping Tom,2,0,,,B,2019
249,Trespass of Real Property,"1,951",72,,,B,2019
250,All Other Offenses,"31,451",844,,,B,2019
251,Total Group B,"51,290","1,195",,,B,2019
252,Murder and Nonnegligent Manslaughter,53,1,160,74,A: Crimes Against Persons,2020
253,Negligent Manslaughter,6,0,6,5,A: Crimes Against Persons,2020
254,Kidnapping/Abduction,120,1,495,284,A: Crimes Against Persons,2020
255,Rape,192,13,"1,475",307,A: Crimes Against Persons,2020
256,Sodomy,67,1,334,147,A: Crimes Against Persons,2020
257,Sexual Assault With An Object,8,1,53,16,A: Crimes Against Persons,2020
258,Fondling,172,17,984,239,A: Crimes Against Persons,2020
259,Incest,12,0,62,13,A: Crimes Against Persons,2020
260,Statutory Rape,72,17,593,104,A: Crimes Against Persons,2020
261,Aggravated Assault,"5,768",338,"16,307","8,911",A: Crimes Against Persons,2020
262,Simple Assault,"13,862",730,"35,400","18,184",A: Crimes Against Persons,2020
263,Intimidation,"1,187",80,"13,969","2,572",A: Crimes Against Persons,2020
264,"Human Trafficking, Commercial Sex Acts",3,0,23,5,A: Crimes Against Persons,2020
265,"Human Trafficking, Involuntary Servitude",2,0,5,1,A: Crimes Against Persons,2020
266,Arson,66,16,433,109,A: Crimes Against Property,2020
267,Bribery,0,0,13,5,A: Crimes Against Property,2020
268,Burglary/Breaking & Entering,"1,114",178,"10,363","1,564",A: Crimes Against Property,2020
269,Counterfeiting/Forgery,233,10,"2,563",430,A: Crimes Against Property,2020
270,Destruction/Damage/Vandalism of Property,"1,813",266,"30,417","4,644",A: Crimes Against Property,2020
271,Embezzlement,44,0,342,55,A: Crimes Against Property,2020
272,Extortion/Blackmail,8,0,540,25,A: Crimes Against Property,2020
273,False Pretenses/Swindle/Confidence Game,453,23,"12,731",661,A: Crimes Against Property,2020
274,Credit Card/Automatic Teller Fraud,68,2,"3,871",144,A: Crimes Against Property,2020
275,Impersonation,42,0,"22,677",138,A: Crimes Against Property,2020
276,Welfare Fraud,0,0,"3,773",0,A: Crimes Against Property,2020
277,Wire Fraud,3,0,"1,047",4,A: Crimes Against Property,2020
278,Identity Theft,13,0,"8,590",26,A: Crimes Against Property,2020
279,Hacking/Computer Invasion,0,0,79,0,A: Crimes Against Property,2020
280,Robbery,554,100,"3,008",710,A: Crimes Against Property,2020
281,Pocket-picking,38,0,568,80,A: Crimes Against Property,2020
282,Purse-snatching,14,1,225,30,A: Crimes Against Property,2020
283,Shoplifting,"2,942",77,"10,921","3,175",A: Crimes Against Property,2020
284,Theft From Building,304,19,"6,969",476,A: Crimes Against Property,2020
285,Theft From Coin Operated Machine or Device,1,0,13,2,A: Crimes Against Property,2020
286,Theft From Motor Vehicle,313,55,"11,794",498,A: Crimes Against Property,2020
287,Theft of Motor Vehicle Parts/Accessories,14,1,"2,333",24,A: Crimes Against Property,2020
288,All Other Larceny,"1,062",76,"24,828","1,629",A: Crimes Against Property,2020
